EVENTDATE,COUNTRYOFEVENT,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT1,FIGHTER2RECENT2,FIGHTER2RECENT3,FIGHTER2RECENT4,FIGHTER2NUMUFCFIGHTS,FIGHTER2RECENTBONUSES,FIGHTER2WINRECORD,FIGHTER2LOSSRECORD,FIGHTER2LAYOFFTIME,FIGHTER1OUTCOME,FIGHTER1WIN
31/10/2020, USA,3,Bryce Mitchell,Bryce Mitchell,2,1994, USA,177,145,177,2.05,0.59,1.36,0.58,2.13,0.41,0.33,2.7,0,15,0.53,0.15,0.33,0.65,0.29,0.05,3,2,3,3,4,2,13,1,5,Andre Fili,Andre Fili,1,1990, USA,180,145,187,3.9,0.36,3.97,0.53,2.71,0.49,0.69,0.2,0.38,11.1,0.85,0.06,0.09,0.69,0.15,0.16,4,6,1,3,15,1,21,7,4,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Kevin Holland,Kevin Holland,1,1992, USA,190,185,205,4.69,0.56,2.85,0.56,0.96,0.36,0.54,0.8,0,14.42,0.67,0.07,0.26,0.62,0.24,0.14,4,1,1,7,9,1,19,5,1,Makhmud Muradov,Makhmud Muradov,1,1990,Uzbekistan,187,185,190,4.97,0.41,2.57,0.64,0.51,0.25,1,0.5,0.51,14.35,0.97,0.03,0,0.63,0.35,0.02,1,3,0,0,2,1,24,6,10,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Maurice Greene,Maurice Greene,1,1986, USA,200,258,203,4.31,0.44,3.96,0.47,0,0,0.33,0.7,0,8.37,0.78,0.22,0,0.61,0.14,0.25,2,7,8,1,6,0,9,5,4,Greg Hardy,Greg Hardy,1,1988, USA,195,265,203,4.48,0.48,2.79,0.58,0,0,0.83,0,0,7.28,0.59,0.21,0.21,0.72,0.17,0.1,3,6,5,1,8,0,6,2,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Bobby Green,Bobby Green,1,1986, USA,177,155,180,5.13,0.51,3.36,0.63,1.53,0.39,0.74,0.4,0.12,12.37,0.75,0.16,0.09,0.51,0.27,0.22,3,3,3,6,20,1,27,10,1,Thiago Moises,Thiago Moises,1,1995, Brazil,175,155,177,2.68,0.43,3.54,0.57,1.1,0.28,0.68,1.6,0,15,0.46,0.12,0.42,0.86,0.07,0.07,2,6,3,6,5,0,13,4,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Chris Gruetzemacher,Chris Gruetzemacher,1,1986, USA,172,155,172,7.12,0.58,5.09,0.56,0,0,0.62,0,0,10.43,0.67,0.26,0.08,0.5,0.27,0.23,1,7,7,3,5,0,14,3,30,Alexander Her0ndez,Alexander Her0ndez,1,1992, USA,175,155,182,3.17,0.38,3.87,0.52,2.15,0.38,0.57,0,0.61,8.08,0.5,0.35,0.15,0.51,0.45,0.04,8,3,8,3,5,1,11,3,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Sean Strickland,Sean Strickland,1,1991,USA,185,170,193,4.34,0.35,3.62,0.64,1.37,0.57,0.81,0.5,0.37,12.05,0.78,0.07,0.15,0.85,0.06,0.09,1,8,3,6,10,0,20,3,24,Jack Marshman,Jack Marshman,1,1989, United Kingdom,182,185,185,2.64,0.28,3.54,0.57,0,0,0.2,0,0.67,9.32,0.91,0.03,0.06,0.71,0.18,0.11,7,4,6,7,7,0,23,9,15,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Dustin Jacoby,Dustin Jacoby,1,1988, USA,193,185,193,3.4,0.46,2.46,0.61,0.3,1,0.66,0,0,13.04,0.96,0.04,0,0.63,0.23,0.15,3,7,6,0,3,0,12,5,2,Justin Ledet,Justin Ledet,1,1988, USA,193,240,203,3.33,0.39,4.67,0.49,0.24,0.5,0.42,0.2,0,9.3,0.98,0.02,0.01,0.98,0.02,0,6,8,6,4,6,0,9,3,9,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Cortney Casey,Cortney Casey,1,1987, USA,170,115,170,4.4,0.38,4.31,0.53,0.31,0.3,0.37,0.6,0,11.53,0.75,0.13,0.13,0.7,0.1,0.2,7,2,6,4,12,1,9,8,4,Priscila Cachoeira,Priscila Cachoeira,1,1988, Brazil,170,125,165,3.84,0.37,7.93,0.42,0,0,0.69,0,0,12.13,0.91,0.09,0,0.73,0.19,0.08,1,6,6,7,4,1,9,3,8,YET TO HAPPENLOSS,WINNER-FIGHTER2
24/10/2020, United Arab Emirates,3,Khabib Nurmagomedov,Khabib Nurmagomedov,1,1988, Russia,177,155,177,4.11,0.49,1.65,0.67,5.35,0.47,0.84,0.7,0.2,13.56,0.4,0.04,0.56,0.87,0.08,0.05,2,2,3,3,12,1,28,0,13,Justin Gaethje,Justin Gaethje,1,1988, USA,180,155,177,7.74,0.59,8.37,0.54,0,0,0.8,0,0.63,10.11,0.87,0.13,0.01,0.6,0.09,0.31,1,1,1,1,7,3,22,2,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
24/10/2020, United Arab Emirates,3,Robert Whittaker,Robert Whittaker,1,1990, Australia,182,185,185,4.51,0.4,3.43,0.61,0.46,0.3,0.84,0,0.75,12.2,0.82,0.09,0.09,0.7,0.13,0.17,3,8,4,3,15,0,22,5,3,Jared Cannonier,Jared Cannonier,3,1984, USA,180,205,195,3.72,0.51,2.82,0.66,0.18,0.33,0.51,0,0.59,8.28,0.69,0.18,0.12,0.75,0.1,0.15,1,1,1,8,10,2,13,4,13,YET TO HAPPENLOSS,WINNER-FIGHTER2
